n,lambda,schur,lambda_sq_schur,R_lambda,lambda6_R_lambda,m2_schur_theory
8,2.0,0.10809951568292991,0.43239806273171966,0.01690048431707008,1.081630996292485,0.5
8,4.0,0.03067212203044192,0.4907539524870707,0.0005778779695580806,2.366988163309898,0.5
8,8.0,0.0078003090044339455,0.4992197762837725,1.219099556605443e-5,3.1957963416677724,0.5
8,16.0,0.0019529076019748543,0.4999443461055627,2.1739802514561575e-7,3.647333625841427,0.5
8,32.0,0.00048827762619557707,0.4999962892242709,3.6238044229240108e-9,3.8910303708896947,0.5
8,64.0,0.00012207025400591677,0.49999976040823507,5.849408323179186e-11,4.0196827918407685,0.5
8,128.0,3.05175771959275e-5,0.49999998477807617,9.290724982707452e-13,4.086104059582328,0.5
8,256.0,7.629394516613191e-6,0.4999999990407621,1.4636808887057795e-14,4.119895440602916,0.5
8,512.0,1.9073486325828535e-6,0.49999999993979954,2.2964652263773243e-16,4.136943975112888,0.5
8,1024.0,4.7683715819952935e-7,0.4999999999962297,3.5956545430266146e-18,4.145507445792689,0.5
8,2048.0,1.1920928955072501e-7,0.49999999999976413,5.624026510760181e-20,4.149799108310031,0.5
8,4096.0,2.9802322387694432e-8,0.49999999999998523,8.79209068664664e-22,4.1519474372970455,0.5
32,2.0,0.10805736788697379,0.43222947154789515,0.016942632113026216,1.0843284552336778,0.5
32,4.0,0.03066992324293749,0.49071877188699986,0.000580076757062508,2.3759943969280326,0.5
32,8.0,0.007800250555685494,0.4992160355638716,1.2249444314506244e-5,3.211118330381925,0.5
32,16.0,0.0019529063983736575,0.49994403798365633,2.18601626342495e-7,3.6675267030993286,0.5
32,32.0,0.00048827760427216075,0.4999962667746926,3.6457278392313307e-9,3.914570459903828,0.5
32,64.0,0.00012207025363346128,0.4999997588826574,5.886653871920615e-11,4.04527773804333,0.5
32,128.0,3.051757718984455e-5,0.4999999846784131,9.351554486473016e-13,4.112857158263161,0.5
32,256.0,7.629394516515948e-6,0.4999999990343892,1.4734051393595333e-14,4.147266772865855,0.5
32,512.0,1.9073486325813163e-6,0.4999999999393966,2.31183695673802e-16,4.1646352227626755,0.5
32,1024.0,4.768371581995052e-7,0.49999999999620437,3.6198140778626204e-18,4.173361493046419,0.5
32,2048.0,1.1920928955072463e-7,0.4999999999997625,5.661887089787241e-20,4.177735284781816,0.5
32,4096.0,2.9802322387694426e-8,0.4999999999999851,8.85133519039551e-22,4.179924863176836,0.5
128,2.0,0.10805716620170536,0.4322286648068214,0.016942833798294636,1.0843413630908567,0.5
128,4.0,0.030669909279362268,0.4907185484697963,0.0005800907206377309,2.376051591732146,0.5
128,8.0,0.007800249912166364,0.4992159943786473,1.2250087833636258e-5,3.2112870250607433,0.5
128,16.0,0.0019529063749125007,0.4999440319776002,2.1862508749940323e-7,3.667920315996388,0.5
128,32.0,0.0004882776035808426,0.4999962660667828,3.6464191574179134e-9,3.9153127571544535,0.5
128,64.0,0.00012207025361661827,0.4999997588136684,5.888338173682466e-11,4.04643518140073,0.5
128,128.0,3.0517577189491588e-5,0.4999999846726302,9.355084112770367e-13,4.114409504325417,0.5
128,256.0,7.62939451650932e-6,0.4999999990339548,1.4740680017675084e-14,4.149132564674327,0.5
128,512.0,1.9073486325812007e-6,0.4999999999393663,2.3129918679165885e-16,4.166715725784054,0.5
