family,label,formula,lambda,d_lambda,ratio,defect,precision_bits
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,1.0,1.0,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,2.0,0.5,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,4.0,0.25,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,8.0,0.125,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,16.0,0.0625,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,32.0,0.03125,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,64.0,0.015625,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,128.0,0.0078125,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,256.0,0.00390625,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,512.0,0.001953125,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,1024.0,0.0009765625,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,2048.0,0.00048828125,1.0,0.0,256
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,4096.0,0.000244140625,1.0,0.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,1.0,1.0,1.0,0.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,2.0,1.0,2.0,1.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,4.0,1.0,4.0,3.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,8.0,1.0,8.0,7.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,16.0,1.0,16.0,15.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,32.0,1.0,32.0,31.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,64.0,1.0,64.0,63.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,128.0,1.0,128.0,127.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,256.0,1.0,256.0,255.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,512.0,1.0,512.0,511.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,1024.0,1.0,1024.0,1023.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,2048.0,1.0,2048.0,2047.0,256
slow,Slow decay,$d_\lambda=\varepsilon_0$,4096.0,1.0,4096.0,4095.0,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,1.0,1.0,1.0,0.0,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,2.0,0.25,0.5,0.5,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,4.0,0.0625,0.25,0.75,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,8.0,0.015625,0.125,0.875,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,16.0,0.00390625,0.0625,0.9375,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,32.0,0.0009765625,0.03125,0.96875,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,64.0,0.000244140625,0.015625,0.984375,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,128.0,6.103515625e-05,0.0078125,0.9921875,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,256.0,1.52587890625e-05,0.00390625,0.99609375,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,512.0,3.814697265625e-06,0.001953125,0.998046875,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,1024.0,9.5367431640625e-07,0.0009765625,0.9990234375,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,2048.0,2.384185791015625e-07,0.00048828125,0.99951171875,256
fast,Fast decay,$d_\lambda=\varepsilon_0/\lambda^2$,4096.0,5.9604644775390625e-08,0.000244140625,0.999755859375,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,1.0,2.0,2.0,1.0,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,2.0,0.625,1.25,0.25,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,4.0,0.265625,1.0625,0.0625,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,8.0,0.126953125,1.015625,0.015625,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,16.0,0.062744140625,1.00390625,0.00390625,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,32.0,0.031280517578125,1.0009765625,0.0009765625,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,64.0,0.015628814697265625,1.000244140625,0.000244140625,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,128.0,0.007812976837158203125,1.00006103515625,6.103515625e-05,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,256.0,0.003906309604644775390625,1.0000152587890625,1.52587890625e-05,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,512.0,0.001953132450580596923828125,1.000003814697265625,3.814697265625e-06,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,1024.0,0.000976563431322574615478515625,1.00000095367431640625,9.5367431640625e-07,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,2048.0,0.000488281366415321826934814453125,1.0000002384185791015625,2.384185791015625e-07,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,4096.0,0.000244140639551915228366851806640625,1.000000059604644775390625,5.9604644775390625e-08,256
