case,lambda,sigma_22,S_2_lambda,lambda_sq_S,kl_bulk,cond_action,J_lambda
A,2.0,0.125,0.125,0.5,0.0,0.0,0.0
A,4.0,0.03125,0.03125,0.5,0.0,0.0,0.0
A,8.0,0.0078125,0.0078125,0.5,0.0,0.0,0.0
A,16.0,0.001953125,0.001953125,0.5,0.0,0.0,0.0
A,32.0,0.00048828125,0.00048828125,0.5,0.0,0.0,0.0
A,64.0,0.0001220703125,0.0001220703125,0.5,0.0,0.0,0.0
A,128.0,3.0517578125e-05,3.0517578125e-05,0.5,0.0,0.0,0.0
A,256.0,7.62939453125e-06,7.62939453125e-06,0.5,0.0,0.0,0.0
A,512.0,1.9073486328125e-06,1.9073486328125e-06,0.5,0.0,0.0,0.0
A,1024.0,4.76837158203125e-07,4.76837158203125e-07,0.5,0.0,0.0,0.0
A,2048.0,1.1920928955078125e-07,1.1920928955078125e-07,0.5,0.0,0.0,0.0
A,4096.0,2.98023223876953125e-08,2.98023223876953125e-08,0.5,0.0,0.0,0.0
B,2.0,0.125,0.1217948717948717948717948717948717948717948717948717948717948717948717948717953,0.4871794871794871794871794871794871794871794871794871794871794871794871794871813,0.0001672303811175084984160497503942815571190406412734272347292863786234977417429756,0.0128205128205128205128205128205128205128205128205128205128205128205128205128205,0.01298774320163032901123656257090710206993955346178624774754979919913631825456347
B,4.0,0.03125,0.03117283950617283950617283950617283950617283950617283950617283950617283950617294,0.498765432098765432098765432098765432098765432098765432098765432098765432098767,1.526671459967330304317642239514635605796919465567438165354766443948618945603267e-06,0.00123456790123456790123456790123456790123456790123456790123456790123456790123456,0.001236094572694535231538885543474082536840364820700135339399922667678516520180164
B,8.0,0.0078125,0.007810995570960908915848257269401116888118621220874253803196610822260735605622966,0.4999037165414981706142884652416714808395917581359522434045830926246870787598699,9.271694681282976197769863074932350707662286584348132496939534821096613310523998e-09,9.628345850182938571153475832851916040824186404775659541690737531292124013094446e-05,9.629273019651066868773252819159409275894952633434094354940431484774233674425498e-05
B,16.0,0.001953125,0.001953098606775584113728192862258618126782070512560641072417940298104079674598991,0.4999932433345495331144173727382062404562100512155241145389927163146443966973417,4.565293929217953820416230494081893968456884398168607287665957864561199509059464e-11,6.756665450466885582627261793759543789948784475885461007283685355603302658072204e-06,6.756711103406177762165465956064484608888469044729442693356562015181948270067295e-06
B,32.0,0.00048828125,0.00048828081214596173315434700928738155382726743659481208677787850989401606393291,0.4999995516374648147500513375102787111191218550730875768605475941314724494672998,2.010290831362992934234314973150303278550418833084290205999270143016005969821832e-13,4.483625351852499486624897212888808781449269124231394524058685275505326995280524e-07,4.483627362143330849617831447203781931752547674650227608348891274775470011286494e-07
B,64.0,0.0001220703125,0.0001220703054462223786257274713222519908943111980961147693544281597962285760183156,0.4999999711077268628509797225359441547030986674016860952757377425253522473710207,8.347634791892423056089004759426891706013602480019529295066344210530867471722921e-16,2.889227313714902027746405584529690133259831390472426225747464775262898016343263e-08,2.889227397191249946670636145419737727528748450608451025942757725926340121651937e-08
B,128.0,3.0517578125e-05,3.051757801306897013772860192370940643666895090841751576042999861582556824460967e-05,0.4999999981661220067365454139180549150583840916835125782188850973216861101196849,3.363108502399369415400615702290448644931161513729051060925290780014846665538747e-18,1.833877993263454586081945084941615908316487421781114902678313889880313896680348e-09,1.833877996626563088481314500342231610606936066712276416407364950805604676695195e-09
