n,cond_II,exact_R,R_solve,R_inv,error_solve,error_inv
20,6.4e7,1.0822845880075815,1.0822845880075465,1.0822845878300213,3.2415732393215216e-14,1.6406053522505367e-10
40,4.096e9,1.0823182174361128,1.082318217436348,1.0823181332432947,2.1726072131783955e-13,7.778933837966182e-8
60,4.6656e10,1.0823217286528988,1.0823217286537608,1.082321485280217,7.964149046437634e-13,2.2486167961176827e-7
80,2.62144e11,1.0823225947747852,1.0823225947774544,1.0823178175359853,2.4661761739892537e-12,4.413876992814877e-6
100,1.0e12,1.0823229053444727,1.0823229053458878,1.0823161698476815,1.3074566381248684e-12,6.223186036200081e-6
120,2.985984e12,1.082323043207773,1.0823230432036246,1.0822639709914021,3.832921584593836e-12,5.457909885743278e-5
140,7.529535999999999e12,1.0823231135293185,1.0823231135219185,1.0824035449125282,6.837219362530098e-12,7.431365199935681e-5
160,1.6777216e13,1.0823231530906898,1.082323153092517,1.0825413509173245,1.688225045089632e-12,0.00020160136647875764
180,3.4012224000000004e13,1.0823231770297512,1.082323177027523,1.0825468800233924,2.0587359281519288e-12,0.00020668779749785624
200,6.4e13,1.082323192355929,1.082323192336828,1.0829602987249347,1.7648300645293156e-11,0.000588647063562217
220,1.13379904e14,1.082323202619149,1.0823232026077236,1.0836974570164621,1.0556278493123884e-11,0.001269726449537069
240,1.91102976e14,1.0823232097487685,1.0823232097541537,1.0808847980929925,4.975637364828221e-12,0.0013290037974052588
260,3.08915776e14,1.0823232148550161,1.082323214845913,1.085951220964479,8.4107617236418e-12,0.0033520542289660615
280,4.8189030399999994e14,1.0823232186076446,1.08232321857489,1.0808015159092137,3.026331440348139e-11,0.0014059595805294446
300,7.29e14,1.0823232214270493,1.0823232214535152,1.0805476546905866,2.4452899121326102e-11,0.0016405143133874883
320,1.073741824e15,1.0823232235861955,1.0823232236520397,1.0922305079469936,6.083600308222093e-11,0.009153720575237312
340,1.544804416e15,1.0823232252675787,1.0823232253346922,1.1027254105881,6.200867205007853e-11,0.01885036266821053
360,2.1767823360000002e15,1.082323226596361,1.0823232266774978,1.1019934339112745,7.496547519505912e-11,0.018174060051147082
380,3.010936384e15,1.0823232276603307,1.0823232276777255,1.1190939439629104,1.6071679753953395e-11,0.03397387708482179
400,4.096e15,1.0823232285223028,1.082323228586614,1.0825771543159208,5.941960896603029e-11,0.0002346117933408244
420,5.489031744e15,1.0823232292280263,1.082323229277599,1.0673460073089474,4.580220490370597e-11,0.013838030557434775
440,7.256313856e15,1.0823232298113596,1.0823232298150915,1.1060119176679963,3.4480491337374716e-12,0.021886888504430827
460,9.474296896e15,1.0823232302977246,1.0823232303510397,0.9033775434618525,4.9259896300926095e-11,0.16533479262627288
480,1.2230590464e16,1.082323230706462,1.082323230960185,1.0189820410967343,2.344242582372125e-10,0.058523357729634295
500,1.5624999999999998e16,1.0823232310524604,1.0823232312263475,1.0129503194827187,1.6066099472945003e-10,0.06409629727921747
520,1.9770609664e16,1.0823232313473103,1.0823232314106437,1.0843051655353206,5.851610382114544e-11,0.0018311851123652939
540,2.4794911296e16,1.0823232316001243,1.0823232317121987,0.5843833715757973,1.0354979596525699e-10,0.4600657599192106
560,3.0840979455999996e16,1.0823232318181346,1.082323232599791,0.4138574352872723,7.222022703259952e-10,0.6176212215346646
580,3.8068692544e16,1.08232323200713,1.0823232355309926,1.0456194174077056,3.2558319279253516e-9,0.03391206389551353
600,4.6656e16,1.0823232321717817,1.0823232284140358,28.0917702996665,3.4719257431901615e-9,24.95506542282915
